date,pincode,district,state,center_type,footfall
2025-12-08,600001,Chennai,Tamil Nadu,Urban,218
2025-12-09,600001,Chennai,Tamil Nadu,Urban,259
2025-12-10,600001,Chennai,Tamil Nadu,Urban,229
2025-12-11,600001,Chennai,Tamil Nadu,Urban,182
2025-12-12,600001,Chennai,Tamil Nadu,Urban,277
2025-12-13,600001,Chennai,Tamil Nadu,Urban,169
2025-12-14,600001,Chennai,Tamil Nadu,Urban,115
2025-12-15,600001,Chennai,Tamil Nadu,Urban,307
2025-12-16,600001,Chennai,Tamil Nadu,Urban,252
2025-12-17,600001,Chennai,Tamil Nadu,Urban,277
2025-12-18,600001,Chennai,Tamil Nadu,Urban,234
2025-12-19,600001,Chennai,Tamil Nadu,Urban,261
2025-12-20,600001,Chennai,Tamil Nadu,Urban,91
2025-12-21,600001,Chennai,Tamil Nadu,Urban,111
2025-12-22,600001,Chennai,Tamil Nadu,Urban,277
2025-12-23,600001,Chennai,Tamil Nadu,Urban,172
2025-12-24,600001,Chennai,Tamil Nadu,Urban,178
2025-12-25,600001,Chennai,Tamil Nadu,Urban,49
2025-12-26,600001,Chennai,Tamil Nadu,Urban,273
2025-12-27,600001,Chennai,Tamil Nadu,Urban,177
2025-12-28,600001,Chennai,Tamil Nadu,Urban,111
2025-12-29,600001,Chennai,Tamil Nadu,Urban,258
2025-12-30,600001,Chennai,Tamil Nadu,Urban,331
2025-12-31,600001,Chennai,Tamil Nadu,Urban,220
2026-01-01,600001,Chennai,Tamil Nadu,Urban,185
2026-01-02,600001,Chennai,Tamil Nadu,Urban,194
2026-01-03,600001,Chennai,Tamil Nadu,Urban,116
2026-01-04,600001,Chennai,Tamil Nadu,Urban,81
2026-01-05,600001,Chennai,Tamil Nadu,Urban,280
2026-01-06,600001,Chennai,Tamil Nadu,Urban,221
2026-01-07,600001,Chennai,Tamil Nadu,Urban,291
2026-01-08,600001,Chennai,Tamil Nadu,Urban,175
2026-01-09,600001,Chennai,Tamil Nadu,Urban,198
2026-01-10,600001,Chennai,Tamil Nadu,Urban,141
2026-01-11,600001,Chennai,Tamil Nadu,Urban,88
2026-01-12,600001,Chennai,Tamil Nadu,Urban,234
2026-01-13,600001,Chennai,Tamil Nadu,Urban,215
2026-01-14,600001,Chennai,Tamil Nadu,Urban,177
2026-01-15,600001,Chennai,Tamil Nadu,Urban,207
2026-01-16,600001,Chennai,Tamil Nadu,Urban,201
2026-01-17,600001,Chennai,Tamil Nadu,Urban,138
2026-01-18,600001,Chennai,Tamil Nadu,Urban,75
2026-01-19,600001,Chennai,Tamil Nadu,Urban,225
2026-01-20,600001,Chennai,Tamil Nadu,Urban,240
2026-01-21,600001,Chennai,Tamil Nadu,Urban,176
2026-01-22,600001,Chennai,Tamil Nadu,Urban,173
2026-01-23,600001,Chennai,Tamil Nadu,Urban,198
2026-01-24,600001,Chennai,Tamil Nadu,Urban,66
2026-01-25,600001,Chennai,Tamil Nadu,Urban,51
2026-01-26,600001,Chennai,Tamil Nadu,Urban,38
2026-01-27,600001,Chennai,Tamil Nadu,Urban,354
2026-01-28,600001,Chennai,Tamil Nadu,Urban,188
2026-01-29,600001,Chennai,Tamil Nadu,Urban,175
2026-01-30,600001,Chennai,Tamil Nadu,Urban,131
2026-01-31,600001,Chennai,Tamil Nadu,Urban,128
2025-01-01,700001,Kolkata,West Bengal,Urban,192
2025-01-02,700001,Kolkata,West Bengal,Urban,173
2025-01-03,700001,Kolkata,West Bengal,Urban,158
2025-01-04,700001,Kolkata,West Bengal,Urban,98
2025-01-05,700001,Kolkata,West Bengal,Urban,64
2025-01-06,700001,Kolkata,West Bengal,Urban,269
2025-01-07,700001,Kolkata,West Bengal,Urban,249
2025-01-08,700001,Kolkata,West Bengal,Urban,148
2025-01-09,700001,Kolkata,West Bengal,Urban,173
2025-01-10,700001,Kolkata,West Bengal,Urban,149
2025-01-11,700001,Kolkata,West Bengal,Urban,158
2025-01-12,700001,Kolkata,West Bengal,Urban,88
2025-01-13,700001,Kolkata,West Bengal,Urban,271
2025-01-14,700001,Kolkata,West Bengal,Urban,121
2025-01-15,700001,Kolkata,West Bengal,Urban,176
2025-01-16,700001,Kolkata,West Bengal,Urban,171
2025-01-17,700001,Kolkata,West Bengal,Urban,177
2025-01-18,700001,Kolkata,West Bengal,Urban,138
2025-01-19,700001,Kolkata,West Bengal,Urban,62
2025-01-20,700001,Kolkata,West Bengal,Urban,196
2025-01-21,700001,Kolkata,West Bengal,Urban,224
2025-01-22,700001,Kolkata,West Bengal,Urban,189
2025-01-23,700001,Kolkata,West Bengal,Urban,229
2025-01-24,700001,Kolkata,West Bengal,Urban,201
2025-01-25,700001,Kolkata,West Bengal,Urban,76
2025-01-26,700001,Kolkata,West Bengal,Urban,24
2025-01-27,700001,Kolkata,West Bengal,Urban,244
2025-01-28,700001,Kolkata,West Bengal,Urban,230
2025-01-29,700001,Kolkata,West Bengal,Urban,178
2025-01-30,700001,Kolkata,West Bengal,Urban,170
2025-01-31,700001,Kolkata,West Bengal,Urban,186
2025-02-01,700001,Kolkata,West Bengal,Urban,86
2025-02-02,700001,Kolkata,West Bengal,Urban,100
2025-02-03,700001,Kolkata,West Bengal,Urban,178
2025-02-04,700001,Kolkata,West Bengal,Urban,213
2025-02-05,700001,Kolkata,West Bengal,Urban,210
2025-02-06,700001,Kolkata,West Bengal,Urban,223
2025-02-07,700001,Kolkata,West Bengal,Urban,145
2025-02-08,700001,Kolkata,West Bengal,Urban,119
2025-02-09,700001,Kolkata,West Bengal,Urban,74
2025-02-10,700001,Kolkata,West Bengal,Urban,179
2025-02-11,700001,Kolkata,West Bengal,Urban,203
2025-02-12,700001,Kolkata,West Bengal,Urban,206
2025-02-13,700001,Kolkata,West Bengal,Urban,178
2025-02-14,700001,Kolkata,West Bengal,Urban,128
2025-02-15,700001,Kolkata,West Bengal,Urban,151
2025-02-16,700001,Kolkata,West Bengal,Urban,77
2025-02-17,700001,Kolkata,West Bengal,Urban,188
2025-02-18,700001,Kolkata,West Bengal,Urban,228
2025-02-19,700001,Kolkata,West Bengal,Urban,146
2025-02-20,700001,Kolkata,West Bengal,Urban,181
2025-02-21,700001,Kolkata,West Bengal,Urban,141
2025-02-22,700001,Kolkata,West Bengal,Urban,130
2025-02-23,700001,Kolkata,West Bengal,Urban,84
2025-02-24,700001,Kolkata,West Bengal,Urban,223
2025-02-25,700001,Kolkata,West Bengal,Urban,183
2025-02-26,700001,Kolkata,West Bengal,Urban,145
2025-02-27,700001,Kolkata,West Bengal,Urban,119
2025-02-28,700001,Kolkata,West Bengal,Urban,137
2025-03-01,700001,Kolkata,West Bengal,Urban,126
2025-03-02,700001,Kolkata,West Bengal,Urban,84
2025-03-03,700001,Kolkata,West Bengal,Urban,259
2025-03-04,700001,Kolkata,West Bengal,Urban,271
2025-03-05,700001,Kolkata,West Bengal,Urban,160
2025-03-06,700001,Kolkata,West Bengal,Urban,242
2025-03-07,700001,Kolkata,West Bengal,Urban,177
2025-03-08,700001,Kolkata,West Bengal,Urban,117
2025-03-09,700001,Kolkata,West Bengal,Urban,77
2025-03-10,700001,Kolkata,West Bengal,Urban,272
2025-03-11,700001,Kolkata,West Bengal,Urban,224
2025-03-12,700001,Kolkata,West Bengal,Urban,246
2025-03-13,700001,Kolkata,West Bengal,Urban,159
2025-03-14,700001,Kolkata,West Bengal,Urban,32
2025-03-15,700001,Kolkata,West Bengal,Urban,170
2025-03-16,700001,Kolkata,West Bengal,Urban,74
2025-03-17,700001,Kolkata,West Bengal,Urban,291
2025-03-18,700001,Kolkata,West Bengal,Urban,197
2025-03-19,700001,Kolkata,West Bengal,Urban,153
2025-03-20,700001,Kolkata,West Bengal,Urban,223
2025-03-21,700001,Kolkata,West Bengal,Urban,169
2025-03-22,700001,Kolkata,West Bengal,Urban,110
2025-03-23,700001,Kolkata,West Bengal,Urban,74
2025-03-24,700001,Kolkata,West Bengal,Urban,268
2025-03-25,700001,Kolkata,West Bengal,Urban,215
2025-03-26,700001,Kolkata,West Bengal,Urban,145
2025-03-27,700001,Kolkata,West Bengal,Urban,215
2025-03-28,700001,Kolkata,West Bengal,Urban,183
2025-03-29,700001,Kolkata,West Bengal,Urban,122
2025-03-30,700001,Kolkata,West Bengal,Urban,99
2025-03-31,700001,Kolkata,West Bengal,Urban,65
2025-04-01,700001,Kolkata,West Bengal,Urban,396
2025-04-02,700001,Kolkata,West Bengal,Urban,223
2025-04-03,700001,Kolkata,West Bengal,Urban,252
2025-04-04,700001,Kolkata,West Bengal,Urban,202
2025-04-05,700001,Kolkata,West Bengal,Urban,129
2025-04-06,700001,Kolkata,West Bengal,Urban,106
2025-04-07,700001,Kolkata,West Bengal,Urban,208
2025-04-08,700001,Kolkata,West Bengal,Urban,152
2025-04-09,700001,Kolkata,West Bengal,Urban,228
2025-04-10,700001,Kolkata,West Bengal,Urban,42
2025-04-11,700001,Kolkata,West Bengal,Urban,305
2025-04-12,700001,Kolkata,West Bengal,Urban,124
2025-04-13,700001,Kolkata,West Bengal,Urban,150
2025-04-14,700001,Kolkata,West Bengal,Urban,24
2025-04-15,700001,Kolkata,West Bengal,Urban,301
2025-04-16,700001,Kolkata,West Bengal,Urban,231
2025-04-17,700001,Kolkata,West Bengal,Urban,301
2025-04-18,700001,Kolkata,West Bengal,Urban,225
2025-04-19,700001,Kolkata,West Bengal,Urban,159
2025-04-20,700001,Kolkata,West Bengal,Urban,91
2025-04-21,700001,Kolkata,West Bengal,Urban,290
2025-04-22,700001,Kolkata,West Bengal,Urban,159
2025-04-23,700001,Kolkata,West Bengal,Urban,210
2025-04-24,700001,Kolkata,West Bengal,Urban,245
2025-04-25,700001,Kolkata,West Bengal,Urban,230
2025-04-26,700001,Kolkata,West Bengal,Urban,177
2025-04-27,700001,Kolkata,West Bengal,Urban,112
2025-04-28,700001,Kolkata,West Bengal,Urban,249
2025-04-29,700001,Kolkata,West Bengal,Urban,215
2025-04-30,700001,Kolkata,West Bengal,Urban,250
2025-05-01,700001,Kolkata,West Bengal,Urban,72
2025-05-02,700001,Kolkata,West Bengal,Urban,265
2025-05-03,700001,Kolkata,West Bengal,Urban,184
2025-05-04,700001,Kolkata,West Bengal,Urban,97
2025-05-05,700001,Kolkata,West Bengal,Urban,306
2025-05-06,700001,Kolkata,West Bengal,Urban,192
2025-05-07,700001,Kolkata,West Bengal,Urban,214
2025-05-08,700001,Kolkata,West Bengal,Urban,225
2025-05-09,700001,Kolkata,West Bengal,Urban,159
2025-05-10,700001,Kolkata,West Bengal,Urban,162
2025-05-11,700001,Kolkata,West Bengal,Urban,120
2025-05-12,700001,Kolkata,West Bengal,Urban,281
2025-05-13,700001,Kolkata,West Bengal,Urban,242
2025-05-14,700001,Kolkata,West Bengal,Urban,302
2025-05-15,700001,Kolkata,West Bengal,Urban,206
2025-05-16,700001,Kolkata,West Bengal,Urban,162
2025-05-17,700001,Kolkata,West Bengal,Urban,132
2025-05-18,700001,Kolkata,West Bengal,Urban,122
2025-05-19,700001,Kolkata,West Bengal,Urban,255
2025-05-20,700001,Kolkata,West Bengal,Urban,211
2025-05-21,700001,Kolkata,West Bengal,Urban,197
2025-05-22,700001,Kolkata,West Bengal,Urban,164
2025-05-23,700001,Kolkata,West Bengal,Urban,175
2025-05-24,700001,Kolkata,West Bengal,Urban,102
2025-05-25,700001,Kolkata,West Bengal,Urban,103
2025-05-26,700001,Kolkata,West Bengal,Urban,217
2025-05-27,700001,Kolkata,West Bengal,Urban,296
2025-05-28,700001,Kolkata,West Bengal,Urban,224
2025-05-29,700001,Kolkata,West Bengal,Urban,193
2025-05-30,700001,Kolkata,West Bengal,Urban,186
2025-05-31,700001,Kolkata,West Bengal,Urban,125
2025-06-01,700001,Kolkata,West Bengal,Urban,130
2025-06-02,700001,Kolkata,West Bengal,Urban,319
2025-06-03,700001,Kolkata,West Bengal,Urban,254
2025-06-04,700001,Kolkata,West Bengal,Urban,305
2025-06-05,700001,Kolkata,West Bengal,Urban,346
2025-06-06,700001,Kolkata,West Bengal,Urban,217
2025-06-07,700001,Kolkata,West Bengal,Urban,175
2025-06-08,700001,Kolkata,West Bengal,Urban,95
2025-06-09,700001,Kolkata,West Bengal,Urban,380
2025-06-10,700001,Kolkata,West Bengal,Urban,217
2025-06-11,700001,Kolkata,West Bengal,Urban,250
2025-06-12,700001,Kolkata,West Bengal,Urban,265
2025-06-13,700001,Kolkata,West Bengal,Urban,287
2025-06-14,700001,Kolkata,West Bengal,Urban,189
2025-06-15,700001,Kolkata,West Bengal,Urban,112
2025-06-16,700001,Kolkata,West Bengal,Urban,347
2025-06-17,700001,Kolkata,West Bengal,Urban,281
2025-06-18,700001,Kolkata,West Bengal,Urban,227
2025-06-19,700001,Kolkata,West Bengal,Urban,265
2025-06-20,700001,Kolkata,West Bengal,Urban,252
2025-06-21,700001,Kolkata,West Bengal,Urban,188
2025-06-22,700001,Kolkata,West Bengal,Urban,120
2025-06-23,700001,Kolkata,West Bengal,Urban,313
2025-06-24,700001,Kolkata,West Bengal,Urban,239
2025-06-25,700001,Kolkata,West Bengal,Urban,270
2025-06-26,700001,Kolkata,West Bengal,Urban,225
2025-06-27,700001,Kolkata,West Bengal,Urban,219
2025-06-28,700001,Kolkata,West Bengal,Urban,130
2025-06-29,700001,Kolkata,West Bengal,Urban,146
2025-06-30,700001,Kolkata,West Bengal,Urban,205
2025-07-01,700001,Kolkata,West Bengal,Urban,415
2025-07-02,700001,Kolkata,West Bengal,Urban,282
2025-07-03,700001,Kolkata,West Bengal,Urban,404
2025-07-04,700001,Kolkata,West Bengal,Urban,293
2025-07-05,700001,Kolkata,West Bengal,Urban,190
2025-07-06,700001,Kolkata,West Bengal,Urban,165
2025-07-07,700001,Kolkata,West Bengal,Urban,376
2025-07-08,700001,Kolkata,West Bengal,Urban,353
2025-07-09,700001,Kolkata,West Bengal,Urban,326
2025-07-10,700001,Kolkata,West Bengal,Urban,219
2025-07-11,700001,Kolkata,West Bengal,Urban,209
2025-07-12,700001,Kolkata,West Bengal,Urban,220
2025-07-13,700001,Kolkata,West Bengal,Urban,91
2025-07-14,700001,Kolkata,West Bengal,Urban,346
2025-07-15,700001,Kolkata,West Bengal,Urban,266
2025-07-16,700001,Kolkata,West Bengal,Urban,276
2025-07-17,700001,Kolkata,West Bengal,Urban,194
2025-07-18,700001,Kolkata,West Bengal,Urban,289
2025-07-19,700001,Kolkata,West Bengal,Urban,197
2025-07-20,700001,Kolkata,West Bengal,Urban,143
2025-07-21,700001,Kolkata,West Bengal,Urban,319
2025-07-22,700001,Kolkata,West Bengal,Urban,291
2025-07-23,700001,Kolkata,West Bengal,Urban,217
2025-07-24,700001,Kolkata,West Bengal,Urban,211
2025-07-25,700001,Kolkata,West Bengal,Urban,195
2025-07-26,700001,Kolkata,West Bengal,Urban,240
2025-07-27,700001,Kolkata,West Bengal,Urban,137
2025-07-28,700001,Kolkata,West Bengal,Urban,284
2025-07-29,700001,Kolkata,West Bengal,Urban,247
2025-07-30,700001,Kolkata,West Bengal,Urban,323
2025-07-31,700001,Kolkata,West Bengal,Urban,316
2025-08-01,700001,Kolkata,West Bengal,Urban,259
2025-08-02,700001,Kolkata,West Bengal,Urban,189
2025-08-03,700001,Kolkata,West Bengal,Urban,103
2025-08-04,700001,Kolkata,West Bengal,Urban,270
2025-08-05,700001,Kolkata,West Bengal,Urban,200
2025-08-06,700001,Kolkata,West Bengal,Urban,299
2025-08-07,700001,Kolkata,West Bengal,Urban,233
2025-08-08,700001,Kolkata,West Bengal,Urban,182
2025-08-09,700001,Kolkata,West Bengal,Urban,100
2025-08-10,700001,Kolkata,West Bengal,Urban,97
2025-08-11,700001,Kolkata,West Bengal,Urban,236
2025-08-12,700001,Kolkata,West Bengal,Urban,251
2025-08-13,700001,Kolkata,West Bengal,Urban,174
2025-08-14,700001,Kolkata,West Bengal,Urban,247
2025-08-15,700001,Kolkata,West Bengal,Urban,35
2025-08-16,700001,Kolkata,West Bengal,Urban,131
2025-08-17,700001,Kolkata,West Bengal,Urban,108
2025-08-18,700001,Kolkata,West Bengal,Urban,218
2025-08-19,700001,Kolkata,West Bengal,Urban,159
2025-08-20,700001,Kolkata,West Bengal,Urban,218
2025-08-21,700001,Kolkata,West Bengal,Urban,202
2025-08-22,700001,Kolkata,West Bengal,Urban,195
2025-08-23,700001,Kolkata,West Bengal,Urban,125
2025-08-24,700001,Kolkata,West Bengal,Urban,95
2025-08-25,700001,Kolkata,West Bengal,Urban,206
2025-08-26,700001,Kolkata,West Bengal,Urban,176
2025-08-27,700001,Kolkata,West Bengal,Urban,19
2025-08-28,700001,Kolkata,West Bengal,Urban,278
2025-08-29,700001,Kolkata,West Bengal,Urban,206
2025-08-30,700001,Kolkata,West Bengal,Urban,149
2025-08-31,700001,Kolkata,West Bengal,Urban,90
2025-09-01,700001,Kolkata,West Bengal,Urban,259
2025-09-02,700001,Kolkata,West Bengal,Urban,200
2025-09-03,700001,Kolkata,West Bengal,Urban,255
2025-09-04,700001,Kolkata,West Bengal,Urban,187
2025-09-05,700001,Kolkata,West Bengal,Urban,215
2025-09-06,700001,Kolkata,West Bengal,Urban,147
2025-09-07,700001,Kolkata,West Bengal,Urban,119
2025-09-08,700001,Kolkata,West Bengal,Urban,226
2025-09-09,700001,Kolkata,West Bengal,Urban,253
2025-09-10,700001,Kolkata,West Bengal,Urban,176
2025-09-11,700001,Kolkata,West Bengal,Urban,189
2025-09-12,700001,Kolkata,West Bengal,Urban,181
2025-09-13,700001,Kolkata,West Bengal,Urban,148
2025-09-14,700001,Kolkata,West Bengal,Urban,70
2025-09-15,700001,Kolkata,West Bengal,Urban,250
2025-09-16,700001,Kolkata,West Bengal,Urban,215
2025-09-17,700001,Kolkata,West Bengal,Urban,277
2025-09-18,700001,Kolkata,West Bengal,Urban,225
2025-09-19,700001,Kolkata,West Bengal,Urban,208
2025-09-20,700001,Kolkata,West Bengal,Urban,165
2025-09-21,700001,Kolkata,West Bengal,Urban,98
2025-09-22,700001,Kolkata,West Bengal,Urban,202
2025-09-23,700001,Kolkata,West Bengal,Urban,223
2025-09-24,700001,Kolkata,West Bengal,Urban,240
2025-09-25,700001,Kolkata,West Bengal,Urban,144
2025-09-26,700001,Kolkata,West Bengal,Urban,173
2025-09-27,700001,Kolkata,West Bengal,Urban,130
2025-09-28,700001,Kolkata,West Bengal,Urban,92
2025-09-29,700001,Kolkata,West Bengal,Urban,160
2025-09-30,700001,Kolkata,West Bengal,Urban,188
2025-10-01,700001,Kolkata,West Bengal,Urban,301
2025-10-02,700001,Kolkata,West Bengal,Urban,107
2025-10-03,700001,Kolkata,West Bengal,Urban,325
2025-10-04,700001,Kolkata,West Bengal,Urban,217
2025-10-05,700001,Kolkata,West Bengal,Urban,65
2025-10-06,700001,Kolkata,West Bengal,Urban,280
2025-10-07,700001,Kolkata,West Bengal,Urban,311
2025-10-08,700001,Kolkata,West Bengal,Urban,164
2025-10-09,700001,Kolkata,West Bengal,Urban,247
2025-10-10,700001,Kolkata,West Bengal,Urban,154
2025-10-11,700001,Kolkata,West Bengal,Urban,169
2025-10-12,700001,Kolkata,West Bengal,Urban,99
2025-10-13,700001,Kolkata,West Bengal,Urban,239
2025-10-14,700001,Kolkata,West Bengal,Urban,231
2025-10-15,700001,Kolkata,West Bengal,Urban,254
2025-10-16,700001,Kolkata,West Bengal,Urban,192
2025-10-17,700001,Kolkata,West Bengal,Urban,150
2025-10-18,700001,Kolkata,West Bengal,Urban,165
2025-10-19,700001,Kolkata,West Bengal,Urban,104
2025-10-20,700001,Kolkata,West Bengal,Urban,318
2025-10-21,700001,Kolkata,West Bengal,Urban,198
2025-10-22,700001,Kolkata,West Bengal,Urban,260
2025-10-23,700001,Kolkata,West Bengal,Urban,227
2025-10-24,700001,Kolkata,West Bengal,Urban,43
2025-10-25,700001,Kolkata,West Bengal,Urban,190
2025-10-26,700001,Kolkata,West Bengal,Urban,108
2025-10-27,700001,Kolkata,West Bengal,Urban,240
2025-10-28,700001,Kolkata,West Bengal,Urban,255
2025-10-29,700001,Kolkata,West Bengal,Urban,270
2025-10-30,700001,Kolkata,West Bengal,Urban,192
2025-10-31,700001,Kolkata,West Bengal,Urban,167
2025-11-01,700001,Kolkata,West Bengal,Urban,12
2025-11-02,700001,Kolkata,West Bengal,Urban,139
2025-11-03,700001,Kolkata,West Bengal,Urban,351
2025-11-04,700001,Kolkata,West Bengal,Urban,266
2025-11-05,700001,Kolkata,West Bengal,Urban,335
2025-11-06,700001,Kolkata,West Bengal,Urban,308
2025-11-07,700001,Kolkata,West Bengal,Urban,317
2025-11-08,700001,Kolkata,West Bengal,Urban,196
2025-11-09,700001,Kolkata,West Bengal,Urban,134
2025-11-10,700001,Kolkata,West Bengal,Urban,327
2025-11-11,700001,Kolkata,West Bengal,Urban,300
2025-11-12,700001,Kolkata,West Bengal,Urban,234
2025-11-13,700001,Kolkata,West Bengal,Urban,198
2025-11-14,700001,Kolkata,West Bengal,Urban,219
2025-11-15,700001,Kolkata,West Bengal,Urban,168
2025-11-16,700001,Kolkata,West Bengal,Urban,106
2025-11-17,700001,Kolkata,West Bengal,Urban,375
2025-11-18,700001,Kolkata,West Bengal,Urban,265
2025-11-19,700001,Kolkata,West Bengal,Urban,255
2025-11-20,700001,Kolkata,West Bengal,Urban,200
2025-11-21,700001,Kolkata,West Bengal,Urban,248
2025-11-22,700001,Kolkata,West Bengal,Urban,149
2025-11-23,700001,Kolkata,West Bengal,Urban,122
2025-11-24,700001,Kolkata,West Bengal,Urban,315
2025-11-25,700001,Kolkata,West Bengal,Urban,277
2025-11-26,700001,Kolkata,West Bengal,Urban,235
2025-11-27,700001,Kolkata,West Bengal,Urban,318
2025-11-28,700001,Kolkata,West Bengal,Urban,237
2025-11-29,700001,Kolkata,West Bengal,Urban,195
2025-11-30,700001,Kolkata,West Bengal,Urban,108
2025-12-01,700001,Kolkata,West Bengal,Urban,334
2025-12-02,700001,Kolkata,West Bengal,Urban,213
2025-12-03,700001,Kolkata,West Bengal,Urban,211
2025-12-04,700001,Kolkata,West Bengal,Urban,248
2025-12-05,700001,Kolkata,West Bengal,Urban,287
2025-12-06,700001,Kolkata,West Bengal,Urban,174
2025-12-07,700001,Kolkata,West Bengal,Urban,88
2025-12-08,700001,Kolkata,West Bengal,Urban,239
2025-12-09,700001,Kolkata,West Bengal,Urban,261
2025-12-10,700001,Kolkata,West Bengal,Urban,207
2025-12-11,700001,Kolkata,West Bengal,Urban,176
2025-12-12,700001,Kolkata,West Bengal,Urban,177
2025-12-13,700001,Kolkata,West Bengal,Urban,121
2025-12-14,700001,Kolkata,West Bengal,Urban,98
2025-12-15,700001,Kolkata,West Bengal,Urban,228
2025-12-16,700001,Kolkata,West Bengal,Urban,266
2025-12-17,700001,Kolkata,West Bengal,Urban,241
2025-12-18,700001,Kolkata,West Bengal,Urban,170
2025-12-19,700001,Kolkata,West Bengal,Urban,148
2025-12-20,700001,Kolkata,West Bengal,Urban,142
2025-12-21,700001,Kolkata,West Bengal,Urban,119
2025-12-22,700001,Kolkata,West Bengal,Urban,182
2025-12-23,700001,Kolkata,West Bengal,Urban,233
2025-12-24,700001,Kolkata,West Bengal,Urban,140
2025-12-25,700001,Kolkata,West Bengal,Urban,47
2025-12-26,700001,Kolkata,West Bengal,Urban,178
2025-12-27,700001,Kolkata,West Bengal,Urban,149
2025-12-28,700001,Kolkata,West Bengal,Urban,114
2025-12-29,700001,Kolkata,West Bengal,Urban,196
2025-12-30,700001,Kolkata,West Bengal,Urban,233
2025-12-31,700001,Kolkata,West Bengal,Urban,279
2026-01-01,700001,Kolkata,West Bengal,Urban,220
2026-01-02,700001,Kolkata,West Bengal,Urban,174
2026-01-03,700001,Kolkata,West Bengal,Urban,155
2026-01-04,700001,Kolkata,West Bengal,Urban,115
2026-01-05,700001,Kolkata,West Bengal,Urban,268
2026-01-06,700001,Kolkata,West Bengal,Urban,230
2026-01-07,700001,Kolkata,West Bengal,Urban,170
2026-01-08,700001,Kolkata,West Bengal,Urban,199
2026-01-09,700001,Kolkata,West Bengal,Urban,134
2026-01-10,700001,Kolkata,West Bengal,Urban,128
2026-01-11,700001,Kolkata,West Bengal,Urban,99
2026-01-12,700001,Kolkata,West Bengal,Urban,282
2026-01-13,700001,Kolkata,West Bengal,Urban,168
2026-01-14,700001,Kolkata,West Bengal,Urban,180
2026-01-15,700001,Kolkata,West Bengal,Urban,217
2026-01-16,700001,Kolkata,West Bengal,Urban,146
2026-01-17,700001,Kolkata,West Bengal,Urban,156
2026-01-18,700001,Kolkata,West Bengal,Urban,110
2026-01-19,700001,Kolkata,West Bengal,Urban,226
2026-01-20,700001,Kolkata,West Bengal,Urban,220
2026-01-21,700001,Kolkata,West Bengal,Urban,172
2026-01-22,700001,Kolkata,West Bengal,Urban,202
2026-01-23,700001,Kolkata,West Bengal,Urban,118
2026-01-24,700001,Kolkata,West Bengal,Urban,122
2026-01-25,700001,Kolkata,West Bengal,Urban,96
2026-01-26,700001,Kolkata,West Bengal,Urban,22
2026-01-27,700001,Kolkata,West Bengal,Urban,277
2026-01-28,700001,Kolkata,West Bengal,Urban,251
2026-01-29,700001,Kolkata,West Bengal,Urban,159
2026-01-30,700001,Kolkata,West Bengal,Urban,169
2026-01-31,700001,Kolkata,West Bengal,Urban,146
2025-01-01,500001,Hyderabad,Telangana,Urban,217
2025-01-02,500001,Hyderabad,Telangana,Urban,216
2025-01-03,500001,Hyderabad,Telangana,Urban,181
2025-01-04,500001,Hyderabad,Telangana,Urban,114
2025-01-05,500001,Hyderabad,Telangana,Urban,145
2025-01-06,500001,Hyderabad,Telangana,Urban,211
2025-01-07,500001,Hyderabad,Telangana,Urban,235
2025-01-08,500001,Hyderabad,Telangana,Urban,207
2025-01-09,500001,Hyderabad,Telangana,Urban,220
2025-01-10,500001,Hyderabad,Telangana,Urban,175
2025-01-11,500001,Hyderabad,Telangana,Urban,173
2025-01-12,500001,Hyderabad,Telangana,Urban,113
2025-01-13,500001,Hyderabad,Telangana,Urban,197
2025-01-14,500001,Hyderabad,Telangana,Urban,211
2025-01-15,500001,Hyderabad,Telangana,Urban,238
2025-01-16,500001,Hyderabad,Telangana,Urban,131
2025-01-17,500001,Hyderabad,Telangana,Urban,135
2025-01-18,500001,Hyderabad,Telangana,Urban,86
2025-01-19,500001,Hyderabad,Telangana,Urban,56
2025-01-20,500001,Hyderabad,Telangana,Urban,280
2025-01-21,500001,Hyderabad,Telangana,Urban,176
2025-01-22,500001,Hyderabad,Telangana,Urban,192
2025-01-23,500001,Hyderabad,Telangana,Urban,149
2025-01-24,500001,Hyderabad,Telangana,Urban,90
2025-01-25,500001,Hyderabad,Telangana,Urban,118
2025-01-26,500001,Hyderabad,Telangana,Urban,0
2025-01-27,500001,Hyderabad,Telangana,Urban,253
2025-01-28,500001,Hyderabad,Telangana,Urban,182
2025-01-29,500001,Hyderabad,Telangana,Urban,190
2025-01-30,500001,Hyderabad,Telangana,Urban,170
2025-01-31,500001,Hyderabad,Telangana,Urban,213
2025-02-01,500001,Hyderabad,Telangana,Urban,105
2025-02-02,500001,Hyderabad,Telangana,Urban,78
2025-02-03,500001,Hyderabad,Telangana,Urban,199
2025-02-04,500001,Hyderabad,Telangana,Urban,274
2025-02-05,500001,Hyderabad,Telangana,Urban,208
2025-02-06,500001,Hyderabad,Telangana,Urban,118
2025-02-07,500001,Hyderabad,Telangana,Urban,176
2025-02-08,500001,Hyderabad,Telangana,Urban,123
2025-02-09,500001,Hyderabad,Telangana,Urban,73
2025-02-10,500001,Hyderabad,Telangana,Urban,227
2025-02-11,500001,Hyderabad,Telangana,Urban,150
2025-02-12,500001,Hyderabad,Telangana,Urban,204
2025-02-13,500001,Hyderabad,Telangana,Urban,236
